Dream Symbol,Interpretation
Rabies,To dream that you have rabies represents unexpressed hostility which may erupt in violence if not expressed in a controlled manner.
Raccoon,"To see a raccoon in your dream signifies deceit and thievery. You are not being completely honest in some situation. Alternatively, the dream suggests that you are hiding something. You are keeping a secret."
Race,"To dream that you are in a race represents your competitive spirit and how you tend to measure yourself against others. Alternatively, this dream may mean that you need to slow down and take a different course in life."
"Race
Car","To see a race car in your dream symbolizes your hard driving and headstrong attitudes. It may also reflect your competitive nature and the need to win. Alternatively, the race may be a pun for your issues with ""race"" and ethnicity."
Racetrack,"To see a racetrack in your dream represents life in the fast lane for you. The tracks may be a metaphor for your quest to get ahead in life. Alternatively, the dream means that you are going in circles. Or that you have a set path of thinking and doing things and are unwilling to deviate from it."
Racism,To experience racism in your dream indicates that you may be too judgmental and discriminatory in some situation in your waking life. Perhaps you have falsely pre-judged someone because of the way he or she appeared.
Radio,To dream that you are listening to the radio symbolizes your awareness and intuition toward a particular situation.  What you hear through the radio also represents messages from your subconscious. It is possible that it is some form of ESP or telepathic communication.
Railing,"To dream that you are holding on to a railing suggests that you are desperately holding out for a chance to obtain the object of you affection. Alternatively, the dream indicates that you are in need of some support and assistance. Don't be afraid to ask for help."
Railroad,"To see a railroad in your dream indicates that you have laid out a set track toward achieving your goals. Your progress will be slow but steady. You are well disciplined and secure in your life. Alternatively, the dream indicates that you may be too linear and rigid in your thinking. Perhaps a situation or relationship in your waking life has become monotonous. Sometimes you need to go off track and explore other possibilities."
"Railroad
Crossing","To see a railroad crossing gate in your dream symbolizes temporary setbacks toward achieving your goals, especially if the gate is going down. If the gate is up, then it means that you have overcome certain obstacles in your life. You are not letting something or someone get in your way of your goals. Rain To see and hear rain falling symbolizes forgiveness and grace. Falling rain is also a metaphor for tears, crying and sadness. Alternatively, rain symbolizes fertility and renewal. If you get wet from the rain, then it indicates cleaning from your troubles and problems. In particular, dreaming of acid rain indicates that you have been mislead. You are letting hatred and revenge take over and define you. To dream that you are watching the rain from a window indicates that spiritual ideas and insights are being brought to your awareness. It may also symbolize fortune and love. To hear rain tapping on the roof denotes spiritual ideas coming to fruition in your mind. Rainbow To see a rainbow in your dream represents hope, success and good fortune in the form of money, prestige, or fame. The rainbow is also seen as a bridge between your earthly, grounded self and the higher, spiritual self. It refers to joy and happiness in your relationship. Alternatively, the rainbow implies that your troubles are almost over. Good will come out of your issues. Just hang in there. In the western culture, the rainbow is a symbol for gay pride. To see an all white rainbow in your dream signifies heightened spirituality and purity. To see a rainbow at night or a lunar rainbow in your dream is symbolic of a spiritual or emotional connection within your personal relationship or religious beliefs. To dream that something is rainbow colored implies that you need to see things in a more positive light. You need to be more optimistic. Also consider the significance of the object. To dream that you have rainbow colored hair refers to your light-hearted and carefree nature. You are headed in a positive spiritual direction. Raincoat To dream that you are wearing a raincoat suggests that you are shielding yourself from your emotions. You are not able to face the nastiness. Alternatively, wearing a raincoat in your dream refers to your pessimistic outlook and unpleasantness. Rainforest To dream that you are in a rainforest suggests that you feel your emotions are being undermined and ""cut down"". Alternatively, the dream represents your waking concerns about the environment. It may also be a metaphor of the impact that you have on your surroundings. Raisins To dream that you are eating raisins represent some negative force that is working against you. The dream may also be a metaphor for something or someone who is old and shriveled. Rake To dream that you are using a rake indicates that some task or project will never be accomplished unless you do it yourself. Alternatively, the dream suggests that you need to have better planning and organization in your life. You need to figure out the direction you want to take in life and then carry out that plan. To see someone raking in your dream denotes that you are effectively taking advantage of some situation. Ram To see a ram in your dream signifies aggression, energy, and impulsiveness. You may be pursuing a decision that should be approached with more tact and consideration. A ram also symbolizes strong and powerful friends who will use their influence and authority to your advantage. To dream that a ram is pursuing you indicates some misfortune or unlucky threat. Perhaps, you feel that something is being ""rammed"" down your throat or that you feel that you are being rammed by a situation or decision. Rambling To dream that you are rambling suggests that you have a lot that you need to get off your mind. You need to express these thoughts and feelings in your waking life or it will continue to haunt you in your dream state. Ramp To dream that you are going up a ramp signifies your struggles in achieving a goal.  It is symbolic of your determination and ambition. If you fail to go up a ramp, then it suggests that you are not able to overcome your difficulties. There are still obstacles standing on your way. To dream that you are going down a ramp refers to some instability and lack of control in your life. Ranch To dream that you are at a ranch suggests that you need to take stock of your life and ascertain what you hope to achieve and gain. The dream may also refer to your own livelihood and concerns about money. Ransom To dream that somebody is demanding ransom from you suggests that you have been deceived. To demand  ransom in your dream means that you are feeling unfairly treated. Rapping To  hear or dream that you are rapping suggests that you need to better verbalize your thoughts and feelings. Rape To dream that you were raped or almost raped indicates vengeful or resentful feelings toward the opposite sex.  You feel that you have been violated or that you have been taken advantage of. Something or someone is jeopardizing your self-esteem and emotional well-being. Things are being forced upon you. Dreams of rape are also common for those who were actually raped in their waking life. To see a rape being committed in your dream denotes sexual dysfunction or uncertainty. In particular, if you witness a gang rape in your dream, then it signifies complete helplessness in a situation. You are lacking the resources or power to do the right thing. It may also mean that you or someone has been humiliated. If you dream of raping someone, then it represents your need to control others and show them who is in charge. You also have a sense of entitlement. Dreaming that your young daughter was raped symbolizes your fears as she grows and becomes more independent. You are learning to let go and that can't always be there to protect her. Rapids To dream that you are carried away by the rapids suggests that you are experiencing some intense feelings. You may be literally be getting carried away by your emotions. Rapture To dream that you have been raptured symbolizes your strong faith and spirituality. To dream that the rapture is coming forewarns that you need to get aspects of your life in order.  Something major is happening in your life that you need to prepare for it. Dreaming that you are left behind in the rapture symbolizes feelings of abandonment and unworthiness. You may have self-esteem issues and often feel overlooked. Rare To dream that something is rare indicates that you need to appreciate certain things. Consider the symbolism or significance of the rare object or event. Don't take things for granted. Rash To dream that you have a rash indicates repressed anger, frustrations and annoyances. You may be holding in your anger and frustrations, instead of expressing it. Alternatively, the dream suggests that others are trying to put doubt in your head about some decision or choice that you are making. It may be a pun on a ""rash"" decision that you are making. You need to think twice before going through with your choice. Raspberry To see or eat raspberries in your dream represent some precious or delicate matter. Ration To dream that you are rationing something indicates that you are not getting your fair share of something, either emotionally, financially or materially. Alternatively, it symbolizes your fairness and diplomacy in some matter. Rats To see a rat in your dream signifies feelings of doubts, greed, guilt, unworthiness and envy. You are keeping something to yourself that is eating you up inside. Or you have done something that you are not proud of. Alternatively, a rat denotes repulsion, decay, dirtiness, and even death. The dream may also be a pun on someone who is a rat. Are you feeling betrayed? In particular, to see a black rat represents deceit and covert activities. If you see a white rat in your dream, then it means that you will receive help from an unexpected source. To dream that a rat is biting your feet is analogous to the rat race that you are experiencing in your waking life. To dream that you catch a rat with your bare hands indicates that you are not letting greed, jealousy, betrayal or some other negativity get the best of you. Rattle To see or play with a rattle in a dream signifies joy, tranquility and contentment in the home. To hear a rattle in your dream represents some situation or issue that you need to tend to. Rattlesnake To see a rattlesnake in your dream represents the passage of time. ** *Go to Common Dreams: Snake Dreams for further analysis. Please see Snake . Raven To see a raven in your dream symbolizes betrayal, disharmony, misfortune, and death. The death may be a symbolic death in that it signals an end to a habit or phase in your life. Alternatively, the dream suggests that someone is taking advantage of your misfortune. Ravine To see a ravine in your dream represents your need to be sheltered and protected.  You are in deep contemplation about your own emotions or relationships. Perhaps you are trying to make sense of your hidden feelings. Raw To eat something that is raw signifies some unexplored or untried experiences. Perhaps you are feeling apprehensive and ill prepared about what is ahead for you. Alternatively, the dream may be a metaphor for your ""raw"" emotions. Razor To see a razor in your dream suggests that there is a situation or problem that you need to smooth out. To dream that you are sharpening a razor indicates that you are ruthless and ""cutthroat."" Razor Blade To see or use a razor blade in your dream symbolizes precision and accuracy in what you do. To find a razor blade in your food refers to some cutting remark that you made and is coming back to haunt you. RC Car To see or play with an RC Car in your dream represents your ability to make quick decision. You are also feeling in control of your goals. Alternatively, the dream may mean that your goals are set too low. You are not challenging yourself. Reach To dream that you are reaching for something or someone signifies a yearning or desire for something you do not have. The dream may also be symbolic of an emotional void in your life that you are trying to fill. Reading To dream that you are reading indicates that you need to obtain more information and knowledge before making a decision. You need to think things through and consider all your options. Real Estate *Please see Property. Reality Show To dream that you are in a reality show suggests that you feel your life is under public scrutiny. You feel that someone is criticizing your decisions and actions. The dream may also be a pun that you are in need of a reality check. Realtor To see or dream that you are a realtor indicates that you are searching for a new sense of self. Reapers To see reapers working in your dream denote prosperity and pleasure. Rear Ended To dream that you have been rear ended indicates that something from your past is still impacting your present situation. You need to learn from the past in order to move forward. Rearview Mirror To dream that you are looking through the rearview mirror suggests that you are dwelling on the past too much. It may indicate regrets, past hurts or ""what ifs"". On the other hand, the dream may be telling you not to forget about the past and what you have left behind. You need to maintain a happy median between what is ahead for you in the future and what you left behind in the past. Rebel To dream that you are a rebel indicates that you need to stand up for yourself and be your own person, even though it may go against the masses. It is time to take action. Rebirth To dream that you are born again indicates that you need to deal with issues that you have been avoiding. You may have been given a second chance to regain what was previously thought to be lost. Alternatively, the dream means that you are starting or entering a new stage in your life. You are looking toward the future instead of dwelling on the past. Some Christians are described as ""born again"". Thus the dream may also represent your renewed religious  faith and commitment. Receipt To see a receipt in your dream indicates that you are accepting or acknowledging some aspect of yourself. It is a reflection of your openness and genuineness. What is the receipt for? Alternatively, the dream symbolizes guaranteed success. Better times are ahead for you. To dream that you cannot find a receipt points to some regret about something you did in the past. Reception To dream that you are attending a reception represents togetherness and social gatherings. The dream may parallel your social calendar. Alternatively, the dream could be a pun that you need to be more ""receptive"" to some new idea, situation, relationship or person. Recess To dream about recess time suggests that you need to take a little break from your daily life for yourself. It is time to think things through and replenish your energy. Recipe To dream of a recipe symbolizes your creativity, talents and enjoyment of life. You need to take advantage of life's pleasures. Consider what the recipe is for. Desserts suggest that you need to indulge in life and devote some time to leisure. A recipe for preparing meat represents your desires for physical/emotional satisfaction. Recital To dream that you are in a recital indicates your level of self-confidence and self esteem. Consider how you perform in the recital and how it may parallel a waking situation. Recliner To see or sit on a recliner in your dream suggests that you need to take a step back to evaluate a situation. Since a recliner is sometimes referred to as a ""lazy boy"", the dream may indicate that you are unproductive. Recognition To dream that you are being recognized suggests that your hard work and abilities are not going unnoticed. Keep up the good work! To dream that someone is being recognized indicates that you need to incorporate some aspects of their character into your own self. Alternatively, the dream refers to your hidden feelings and fondness toward that person. Reconcilement To dream about a reconcilement represents a person in your waking life who you need to reconnect with. You need to rid yourself of some burden that has been weighing you down. Alternatively, the dream suggests that you need to come to terms with the changes in your life. Record To see or listen to a record in your dream suggests that you need to consider both sides of a situation before making a decision. You need to be more in tune with your instincts.  Maybe there is something that you need to say ""on or off the record."" Or the dream is telling you that you are going round and round in circles; you are not making any progress in life. Alternatively, a record represents a need for enjoyment and sensual pleasure. To dream that the record is scratched may be a pun on how you are  ""sounding like a broken record"". Or the dream may literally mean ""breaking a record"". Record Player To see a record player in your dream suggests that you are going around in circles over a problem or situation. In other words, you are going nowhere. To dream that the record player is broken indicates that you have broken free from a cycle or habit. Recording Studio To dream that you are in a recording studio suggests that there is a message that you need to absorb and incorporate into your daily life. Recovery To dream that you are recovering or in recovery means that you are visualizing success or envisioning a positive future. You will overcome current struggles or hardships. Dreaming that you are recovering an object means you are trying to relive parts of your past. Rectangle To see a rectangle in your dream represents permanence, materialism and stability. Because of its four corners and four sides, it is also symbolic of the number 4. Recurring Dream To have recurring dreams indicate unresolved issues, unhealthy behavior patterns, or unexpressed emotions in your waking life. *For more information, please See Dream Moods' article on Recurring Dreams. Recycle To dream that you are recycling suggests that you are trying to sort out aspects of your life. You are trying to learn from your past mistakes and turn them into positives. Alternatively, the dream may mean that you are reliving the past. It is time to move forward. Red Carpet To dream that you are walking on a red carpet represents your desire to be admired and looked up to. You are seeking validation and acknowledgement for your achievements. To see the red carpet in your dream suggests that you are welcoming fun and festivities in your life. You are ready for a celebration. Red Cross To see the Red Cross in your dream suggests that you are in need of spiritual healing. Don't be shy about asking for help when you need it. The Red Cross is also representative of humanitarian work. Red Giant To dream of a Red Giant implies that the end is near in your career or relationship. Red Light To dream that you are running a red stoplight indicates that you are doing something despite being told not to do it. You are going against the rules. Red Snapper To dream of a red snapper fish implies that you are speaking and acting out of anger. You are letting negative emotions dictate your behavior. Redecorating To dream that you are redecorating indicates your need for change. You need a makeover of yourself. Redhead To dream that you are a redhead suggests that you need more spontaneity and vitality in your life. It is time to make some dramatic changes. Redwood To see redwood trees in your dream symbolize longevity and continuity. Due to their color, the redwoods also represent passion, life, and blood. Reeds To see reeds in your dream symbolize your flexibility and resilience in various situations. Reef To see a reef in your dream suggests that you are blocking out subconscious material from emerging onto the surface. Alternatively, the dream may also mean a refuge or protection from your emotions. Reenactment To dream of a reenactment signifies a memory, especially if it is a painful or difficult memory. Your subconscious is trying to protect you by creating a level of separation from a direct memory. Referee To see a referee in your dream signifies an inner battle between your own ideals and values and between the ideals and values of others. You are looking for a resolution to some conflict in your daily life. Reflection To see your reflection in your dream represents your true self; it is time to look within. The reflection may highlight both your flaws and positive attributes. Learn from your flaws and how to improve them. At the same time, appreciate your good qualities.  Alternatively, your reflection indicates how you want others to perceive you. If you see a strange figure or something other than your own reflection, then it suggests that you are undergoing some identity crisis. You are not sure about who you are anymore. To dream that you do not see your reflection in a mirror implies that you have lost your self-identity. Perhaps you have changed for the benefit of others that you don't know who you are anymore. Refrigerator To see or open a refrigerator in your dream represents your chilling personality and/or cold emotions. The dream may also be telling you that you need to put some goal, plan, or situation on hold. Alternatively, a refrigerator signifies that you have accomplished what you have been subconsciously seeking. To dream that the refrigerator has broken down suggests that you need to warm up to somebody or some situation. It is time to let go of those harsh, cold feelings. If you dream of a very full refrigerator, then it symbolizes your untapped resources. Refugee To dream that you are a refugee refers to feelings of rejection by society. You feel emotionally isolated and that you do not belong anywhere. Alternatively, the dream means that you are trying to escape a situation or issue instead of confronting it. Refusal To dream that you are refusing something suggests that you are in denial about something. Consider what you are refusing. Alternatively, the dream may be a pun on ""refuse"" or trash. Is there some aspect or characteristic that you are rejecting?"
Rain,"To see and hear rain falling symbolizes forgiveness and grace. Falling rain is also a metaphor for tears, crying and sadness. Alternatively, rain symbolizes fertility and renewal. If you get wet from the rain, then it indicates cleaning from your troubles and problems. In particular, dreaming of acid rain indicates that you have been mislead. You are letting hatred and revenge take over and define you."
Rainbow,"To see a rainbow in your dream represents hope, success and good fortune in the form of money, prestige, or fame. The rainbow is also seen as a bridge between your earthly, grounded self and the higher, spiritual self. It refers to joy and happiness in your relationship. Alternatively, the rainbow implies that your troubles are almost over. Good will come out of your issues. Just hang in there. In the western culture, the rainbow is a symbol for gay pride."
Raincoat,"To dream that you are wearing a raincoat suggests that you are shielding yourself from your emotions. You are not able to face the nastiness. Alternatively, wearing a raincoat in your dream refers to your pessimistic outlook and unpleasantness."
Rambling,To dream that you are rambling suggests that you have a lot that you need to get off your mind. You need to express these thoughts and feelings in your waking life or it will continue to haunt you in your dream state.
Ramp,"To dream that you are going up a ramp signifies your struggles in achieving a goal.  It is symbolic of your determination and ambition. If you fail to go up a ramp, then it suggests that you are not able to overcome your difficulties. There are still obstacles standing on your way."
Ranch,To dream that you are at a ranch suggests that you need to take stock of your life and ascertain what you hope to achieve and gain. The dream may also refer to your own livelihood and concerns about money.
Rape,To dream that you were raped or almost raped indicates vengeful or resentful feelings toward the opposite sex.  You feel that you have been violated or that you have been taken advantage of. Something or someone is jeopardizing your self-esteem and emotional well-being. Things are being forced upon you. Dreams of rape are also common for those who were actually raped in their waking life.
Rapids,To dream that you are carried away by the rapids suggests that you are experiencing some intense feelings. You may be literally be getting carried away by your emotions.
Rare,To dream that something is rare indicates that you need to appreciate certain things. Consider the symbolism or significance of the rare object or event. Don't take things for granted.
Rash,"To dream that you have a rash indicates repressed anger, frustrations and annoyances. You may be holding in your anger and frustrations, instead of expressing it. Alternatively, the dream suggests that others are trying to put doubt in your head about some decision or choice that you are making. It may be a pun on a ""rash"" decision that you are making. You need to think twice before going through with your choice."
Rats,"To see a rat in your dream signifies feelings of doubts, greed, guilt, unworthiness and envy. You are keeping something to yourself that is eating you up inside. Or you have done something that you are not proud of. Alternatively, a rat denotes repulsion, decay, dirtiness, and even death. The dream may also be a pun on someone who is a rat. Are you feeling betrayed?"
Ravine,To see a ravine in your dream represents your need to be sheltered and protected.  You are in deep contemplation about your own emotions or relationships. Perhaps you are trying to make sense of your hidden feelings.
"Razor
Blade",To see or use a razor blade in your dream symbolizes precision and accuracy in what you do.
"RC
Car","To see or play with an RC Car in your dream represents your ability to make quick decision. You are also feeling in control of your goals. Alternatively, the dream may mean that your goals are set too low. You are not challenging yourself."
Reading,To dream that you are reading indicates that you need to obtain more information and knowledge before making a decision. You need to think things through and consider all your options.
"Rear
Ended",To dream that you have been rear ended indicates that something from your past is still impacting your present situation. You need to learn from the past in order to move forward.
Receipt,"To see a receipt in your dream indicates that you are accepting or acknowledging some aspect of yourself. It is a reflection of your openness and genuineness. What is the receipt for? Alternatively, the dream symbolizes guaranteed success. Better times are ahead for you."
Recipe,"To dream of a recipe symbolizes your creativity, talents and enjoyment of life. You need to take advantage of life's pleasures. Consider what the recipe is for. Desserts suggest that you need to indulge in life and devote some time to leisure. A recipe for preparing meat represents your desires for physical/emotional satisfaction."
Recliner,"To see or sit on a recliner in your dream suggests that you need to take a step back to evaluate a situation. Since a recliner is sometimes referred to as a ""lazy boy"", the dream may indicate that you are unproductive."
Reconcilement,"To dream about a reconcilement represents a person in your waking life who you need to reconnect with. You need to rid yourself of some burden that has been weighing you down. Alternatively, the dream suggests that you need to come to terms with the changes in your life."
Record,"To see or listen to a record in your dream suggests that you need to consider both sides of a situation before making a decision. You need to be more in tune with your instincts.  Maybe there is something that you need to say ""on or off the record."" Or the dream is telling you that you are going round and round in circles; you are not making any progress in life. Alternatively, a record represents a need for enjoyment and sensual pleasure."
Recovery,To dream that you are recovering or in recovery means that you are visualizing success or envisioning a positive future. You will overcome current struggles or hardships.
Rectangle,"To see a rectangle in your dream represents permanence, materialism and stability. Because of its four corners and four sides, it is also symbolic of the number 4."
"Red
Carpet",To dream that you are walking on a red carpet represents your desire to be admired and looked up to. You are seeking validation and acknowledgement for your achievements.
"Red
Giant",To dream of a Red Giant implies that the end is near in your career or relationship.
"Red
Snapper",To dream of a red snapper fish implies that you are speaking and acting out of anger. You are letting negative emotions dictate your behavior.
Reenactment,"To dream of a reenactment signifies a memory, especially if it is a painful or difficult memory. Your subconscious is trying to protect you by creating a level of separation from a direct memory."
Reflection,"To see your reflection in your dream represents your true self; it is time to look within. The reflection may highlight both your flaws and positive attributes. Learn from your flaws and how to improve them. At the same time, appreciate your good qualities.  Alternatively, your reflection indicates how you want others to perceive you."
Refrigerator,"To see or open a refrigerator in your dream represents your chilling personality and/or cold emotions. The dream may also be telling you that you need to put some goal, plan, or situation on hold. Alternatively, a refrigerator signifies that you have accomplished what you have been subconsciously seeking."
Sabotage,To dream that you have been sabotaged indicates that there is something that you are ignoring or overlooking in your waking life.
Sad,To dream that you are sad suggests that you need to learn from your disappointments and just be happy. Try not to dwell on the negative. The dream may be a reflection of how you are feeling in your waking life.
Safari,To dream that you are on a safari represents freedom from societal norms and rules. You are trying to break free from the confines of civilization.
"Safe
Haven","To dream of a safe haven place indicates that you have a positive outlook in life. No matter how bleak circumstances may currently be, you know deep inside that things will work itself out. Hang in there. Alternatively, the dream implies that you are trying to escape from reality. You do not want to think about your current issues."
"Safety
Pin",To see a safety pin in your dream indicates that a situation is on the verge of falling apart causing anxiety or fear. You feel that the livelihood of the relationship depends on you.
Salad,"To see or eat a salad in your dream suggests that you need to express your feelings and take in the positive influences in your life needed for personal growth. Alternatively, the dream indicates that you are longing for nature and good health."
Salamander,"To see a salamander in your dream represents your ability to survive through shame, misfortune, and/or embarrassment. You will persevere through some adversity. Alternatively, the dream denotes your ability to resist temptations."
Sale,"To dream that something is on sale represents opportunities that are readily available to you. Alternatively, it indicates that you are underestimating yourself in some area."
Saliva,To see saliva in your dream symbolizes sexual and sensual appetites. You are harvesting some creative energy.
Salon,"To dream that you are at the salon indicates your concerns with your looks. You may be overly conscious about your appearance and beauty. Perhaps you are trying too hard to impress others. The dream also suggests deception and cover-up of some situation. Alternatively, it may denote a new outlook toward life."
Saloon,"To dream that you are in a saloon indicates that you are trying to escape from life's stresses. You are looking for a place to relax. Alternatively, being in a saloon means that there is a conflict that you are looking to settle immediately."
Salt,"To see or taste salt in your dream represents a new found flare in your waking life. You are experiencing increased worth and a higher sense of zest and vigor. Alternatively, salt symbolizes dependability, truth, and dedication. Also consider the phrase of throwing salt on an open wound. The dream may thus elude to some painful or difficult memory."
Sample,"To see product samples in your dream signify your need to experience and explore what is available out there for you. Take things a little at a time. Alternatively, samples represent a lack of commitment."
"Sand
Dunes",To see a sand dune in your dream signifies your desires to be sheltered from the bitterness of reality.
Sandals,"To see or wear sandals in your dream signify comfort and ease. You have an understanding about those around you. Alternatively, the dream indicates that you need to tread lightly around certain people or risk offending them."
Sandbag,"To see a sandbag in your dream indicates that something or someone is weighing your down and hindering your progress. Alternatively, the sandbag implies that you are diverting or deflecting your feelings instead of confronting them. The dream may also be a metaphor for someone who is ""sandbagging"" you."
Sandbox,"To see or play in a sandbox in your dream suggests that you are taking a situation too seriously. You need to lighten up and enjoy the experience. Alternatively, the dream refers to your childish or juvenile behavior."
Sandpaper,"To see or use sandpaper in your dream suggests that you need to smooth over some rough spots in your situation or relationship. Alternatively, it may indicate that you are a little too abrasive or harsh in your words or attitude."
Sandwich,"To see a sandwich in your dream suggests that a lot of pressure and stress is being put on you. It also reflects your ability to do two things at once. Alternatively, a sandwich is just a sandwich sometimes."
"Santa
Claus","To see Santa Claus in your dream indicates that you need to be more giving, accepting, and/or forgiving. You need to acknowledge and tend to some aspect of yourself. Alternatively, the dream means that you are reflecting on the good and bad things that you have done. meanings by DreamMoods.com"
Sanyasi,To see a Sanyasi in your dream signifies desires for a simpler life. You want to free yourself from the pursuit of material things.
Sarcasm,To dream that you are being particularly sarcastic suggest that you are trying to draw attention away from your own flaws. You are afraid that others will notice your imperfections.
Satan,To see Satan in your dream denotes that there is some wrongdoing or evil workings in your life or environment.
"Satellite
Dish",To see a satellite dish in your dream represents global awareness and your understanding about worldly issues.
Satin,To       see or wear satin in your dream signifies a smooth transition.
Saturday,To       dream about Saturday represents opportunity. It is also a sign that       whatever you are doing or deciding on is going to be to your advantage.
Satyr,"To see a Satyr or dream that you are a Satyr suggests that you are seeking sexual freedom. It is symbolic of male fertility and masculine sexual power. Alternatively, the dream indicates that you need to integrate aspects of your mind and your body. Or that you need to be more in tune with your environment. Satyrs are also       known for their carefree nature and so dreaming about them may imply that       you need to be more carefree."
Sauce,To see or taste some sort of sauce in your dream represents your sense of wisdom and intellect. Consider the color and flavor of the sauce for additional significance.
Saucer,To see or use a saucer in your dream represents your emotional and spiritual support.
Sauna,"To dream that you are in a sauna suggests that you need to be more open and receptive to others' opinions and ideas. Perhaps you need to rid yourself of the negativities in your life.  Alternatively, a sauna relates to eroticism and your sexual desires."
Sausage,To see or eat sausage in your dream symbolizes material values. It may also represent the phallus and thus refers to sexual feelings or tension.
Savanna,To see or dream that you are in a savanna suggests that you need to learn to adjust to the various situations and circumstances in your life. Appreciate the different experiences in your life even though they are not what you may be accustomed to.
Scaffolding,To see or dream that you are on a scaffolding represents a temporary condition in your life. You are looking for support to help you reach your goals or elevate yourself to a new level.
Scald,To get scalded in your dream implies that you are being emotionally distant. Something drastic needs to happen in order for you to react or respond.
Scantron,"To       see a scantron in your dream represents the choices that you are making in       some area of your life. You feel you are being limited by the choices       presented to you. Alternatively, dream of a scantron implies that you are       stressed or preoccupied about a test."
Scar,"To see a scar in your dream symbolizes your struggles, painful memories and/or the bad feelings that has never entirely healed and are still lingering in your mind. Perhaps you are living too much in the past as it is influencing and effecting your present life. Alternatively, a scar represents deep-seated insecurities which may be holding you back from accomplishing your goals."
Scarab,"To see a scarab in your dream symbolizes your ability to survive, adapt, and change. You are on the right path. It also indicates your anxieties about death and aging. Alternatively, the scarab represents the sun, resurrection, and immortality."
Scared,"To dream that you are scared indicates that you are experiencing feelings of self-doubt, incompetence, and lack of control in your waking life. Perhaps you are having second thoughts about a decision you have made. Anger often masquerades as fear, so also consider issues about which you are angry about in your waking life."
Scarf,"To see a scarf in your dream symbolizes self-restrictions. You may be too controlling of your emotions instead of expressing them. Alternatively, you feel that your voice is being muffled."
Scepter,To see a scepter in your dream represents individual power. One person can make a difference.
Schizophrenia,To dream that you have schizophrenia and you really do not represents your refusal to take responsibilities for your actions. You are unwilling to see or accept your own personal power and growth.
Schnauzer,To see a schnauzer in your dream highlights you hyper-alertness and loyalty.
School,"To dream that you are in school signifies feelings of inadequacy and childhood insecurities that have never been resolved. It may relate to anxieties about your performance and abilities. If you are still in school and dream about school, then the dream may just be a reflection of your daily life and has no special significance."
"School
Bus",To see or ride a school bus in your dream suggests that you are about to venture on an important life journey needed for your own personal growth.
Scold,To dream that you are being scolded indicates that you are being inhibited and prevented from fully expressing yourself in some area of your life.
Scooter,To see or ride a scooter in your dream suggests that you are enjoying your position of power.
Scorpion,"To see or be stung by a scorpion in your dream represents a situation in your waking life which may be painful or hurtful. It is also indicative of destructive feelings, ""stinging"" remarks, bitter words and/or negative thoughts being expressed by or aimed against you. You may be on a self-destructive and self-defeating path. The scorpion is also a symbol of death and rebirth. You need to get rid of the old and make room for something new. Alternatively, the scorpion represents a person who is born under the astrological sign for Scorpio."
Scrabble,To dream that you are playing with scrabble implies that you still need to piece together your thoughts and emotions. Consider the significance of the letters that you are using or the words that you are spelling.
Scratch,To dream that you are scratching yourself symbolizes a minor irritation or frustration.  Perhaps something that started out as minor may have the potential to become worse. Or somebody may have hit a sore spot in you.
Scream,"To dream that you are screaming symbolizes anger and fear. You are expressing some powerful emotion which you have kept pent up inside. If you try to scream, but no sound comes out, then it indicates your sense of helplessness and frustration in some situation. No matter how hard you try to get someone's attention, they cannot hear you. The dream highlights your difficulty in communicating with this person. You need to immediately identify your fears or feelings and confront this situation in real life. Alternatively, your inability to scream may be a form of REM paralysis."
Screen,To see a window screen in your dream implies that you are being cautiously optimistic about the good news you receive.
Screwdriver,"To see a screwdriver in your dream indicates the need to hold some situation or relationship together.  Consider also if  there someone in your life who is ""all screwed up"" or whom you would like to ""put the screws on""?"
Scrubs,"To wear scrubs in your dream refers to your caring, supportive and giving nature. The dream may be a metaphor that you need to literally clean up your act and get back on track. You need to organize aspects of your life before you can progress forward."
Sculptor,"To dream that you are a sculptor refers to your creativity. You will accomplish your goals and overcome obstacles.  Alternatively, it may mean that you are working on finding yourself and in getting to the core of things."
Sculpture,To see a sculpture in your dream indicates that you are refusing to accept things as they really are. You are afraid that you are not presenting yourself in a positive light or image.
Scythe,"To see or use a scythe in your dream suggests that you need to cut out some of the excess and needless things in your life. Perhaps you need to ""cut back"" on spending, smoking, eating, gambling or some other habit. Alternatively, the scythe is symbolic of death or the end of something. The dream may also be a metaphor that you are feeling ""cut off"" or isolated."
Sea,"To see the sea in your dream represents your subconscious and the transition between your subconscious and conscious. As with all water symbols, it also represents your emotions. The dream may also be a pun on your understanding and perception of a situation. ""I see"" or perhaps there is something you need to ""see"" more clearly. Alternatively, the dream indicates a need to reassure yourself or to offer reassurance to someone. It brings about hope, a new perspective and a positive outlook on life no matter how difficult your current problems may be."
"Sea
Creature","To see a sea creature in your dream represents an emotional transformation. If the sea creature is captured or in captivity, then it indicates that you are keeping your emotions contained, which can be harmful to your well-being in the end."
"Sea
Horse","To see a sea horse in your dream represents the power of your subconscious. You have a new perspective or different outlook in life. If the sea horse is invisible, then it suggests that there is an emotional issue that you are not acknowledging or recognizing."
"Sea
Turtle",To see a sea turtle in your dream indicates that you are cautious when it comes to expressing your emotions. You may also be a little emotionally sheltered.
Seafood,"To see or eat seafood in your dream indicates recognition and a mergence of your spirituality with your conscious being. You are acknowledging and fulfilling the needs of your subconscious. The dream may also be a pun on ""seeing food"" and thus the symbolism of ""food"" is also applicable."
